word,count
hesitating,1
ready,27
minds,18
perish,6
sluggish,1
dilatory,1
undergo,3
fatigue,1
weighing,1
attss,7
improvement,18
dull,18
quick,15
apprehensive,1
often,47
falls,17
learner,2
amends,5
another,121
sect,2
else,36
abysm,1
ardly,1
unwillingly,1
aversely,1
numid,1
lions,5
hunters,2
chasd,1
though,96
fly,39
backwardly,1
tempg,3
proud,24
aspect,4
disdaining,2
haste,11
cer,5
receivd,6
gift,11
does,54
lackwardly,1
ixe2x80x99ll,7
requite,1
last,47
toamon,1
backwa,1
rdn,1
ess,23
dulness,4
ness,32
sluggishness,1
apt,14
excuse,5
backwardies,1
works,23
observed,13
tend,8
designed,6
charities,2
bacon,72
probably,32
laken,2
dried,6
flesh,35
hog,6
saited,1
oer,39
hearth,2
chine,1
lacon,1
hung,13
philemon,2
seizd,6
prong,1
cut,57
slice,2
save,14
phrase,13
preserving,1
ones,40
self,18
unhurt,1
borrowed,8
housewives,1
sountry,1
seldom,16
secure,10
marching,2
soldiers,20
frightens,2
thus,83
pricit,1
murderd,5
sorry,2
confest,2
q,43
sorrow,23
scarce,16
twas,8
baculometry,1
airxe2x80x9d,1
art,73
measuring,3
distances,6
dicf,12
bat2,1
quqad,1
compar,1
superl,1
wors,1
general,43
regard,22
physical,7
faults,6
politicks,1
violence,23
best,92
scheme,1
government,27
bad,37
vitious,2
corrupt,9
mayxe2x80x99s,1
repent,4
badact,1
deeds,6
mays,4
cover,19
miltons,78
loft,58
xi,23
1256,1
latter,11
ailtons,2
parad,20
loast,12
xii,23
unhappy,10
fates,4
mix,5
amongst,17
run,31
paths,4
virtue,49
bids,8
shun,9
unfortunate,3
annual,4
obliquely,1
days,41
contracted,12
enlargxe2x80x99d,1
unwholesome,1
reading,6
eyeswriting,1
ake,3
sick,5
preterite,10
lid,1
bade,8
earnest,5
thane,3
cawder,2
mach,2
badge,12
derived,26
ju,3
nius,3
bode,4
messenger,5
cor,14
rupted,4
ladage,1
credential,1
soa,54
4inlew,1
bagghe,1
dut,9
jewel,4
bague,1
ring,11
mark,46
worn,20
shew,31
relation,7
wearer,2
person,61
cross,14
bore,44
dear,14
remembrance,3
dying,6
sweet,59
fake,1
glorious,10
wore,5
stensoar,1
splendour,9
office,19
token,8
character,10
inwardly,2
bears,41
atterburys,2
sermons,12
savage,19
tygress,1
helmet,6
lies,32
famous,7
clarinda,1
usxe2x80x99d,3
appears,15
joy,32
even,57
itself,56
modest,14
bit,23
terness,1
mercy,12
nobilitys,1
andron,4
badges,1
wreck,3
norbeg,1
blue,41
table,18
persus,5
royal,19
fathers,20
oh,19
whom,68
chamber,15
seemxe2x80x99d,2
dont,2
badgxe2x80x99d,1
daggers,1
badger,10
bedour,1
earths,2
hunted,3
brock,2
legs,20
shorter,4
generally,46
received,19
theorists,1
unex,1
perienced,1
believers,4
behold,28
daily,13
browns,35
wulgar,9
errours,38
leggfd,1
legged,1
unequal,3
crooked,17
big,43
bellied,1
loagged,1
complexion,4
swarthy,1
leirange,7
perhaps,45
bajulus,1
carrier,2
creature,14
stows,1
buys,2
victuals,4
badly,2
manner,63
day,120
telline,1
hubertxe2x80x94,1
fear,43
fares,2
badness,2
want,42
qualities,12
na,7
tural,1
brothers,10
disposition,12
provoking,1
awork,1
reprovable,1
lear,96
convenience,2
city,37
ladness,1
pavement,6
sce,13
weather,14
fault,15
baffle,3
